TICKER;PER;DATE;TIME;OPEN;HIGH;LOW;CLOSE;VOL
EURUSD;1;240501;000000;1.06659;1.06671;1.06649;1.06668;785
EURUSD;1;240501;000100;1.06662;1.06672;1.06654;1.06655;551
EURUSD;1;240501;000200;1.06663;1.06667;1.06655;1.06663;384
EURUSD;1;240501;000300;1.06663;1.06665;1.06646;1.06656;444
EURUSD;1;240501;000400;1.06658;1.06671;1.0665;1.0667;467
EURUSD;1;240501;000500;1.06666;1.0667;1.06652;1.06657;471
EURUSD;1;240501;000600;1.06663;1.06667;1.06651;1.06656;453
EURUSD;1;240501;000700;1.06656;1.06672;1.06655;1.06671;393
EURUSD;1;240501;000800;1.06668;1.06671;1.06655;1.06664;382
EURUSD;1;240501;000900;1.06662;1.06666;1.06655;1.0666;241
EURUSD;1;240501;001000;1.06663;1.06664;1.06651;1.0666;358
EURUSD;1;240501;001100;1.0666;1.0666;1.0665;1.06659;274
EURUSD;1;240501;001200;1.06651;1.0666;1.06631;1.06641;507
EURUSD;1;240501;001300;1.06635;1.06644;1.0663;1.06642;369
EURUSD;1;240501;001400;1.06642;1.06644;1.06629;1.06644;335
EURUSD;1;240501;001500;1.06641;1.0665;1.06631;1.0664;507
EURUSD;1;240501;001600;1.06632;1.06642;1.06626;1.06633;389
EURUSD;1;240501;001700;1.06627;1.06637;1.0662;1.06632;413
EURUSD;1;240501;001800;1.06632;1.06636;1.0662;1.06628;354
EURUSD;1;240501;001900;1.06628;1.06636;1.06619;1.06629;424
EURUSD;1;240501;002000;1.06625;1.06643;1.06625;1.06632;408
EURUSD;1;240501;002100;1.06636;1.0664;1.06621;1.06631;408
EURUSD;1;240501;002200;1.06628;1.06631;1.06603;1.06603;523
EURUSD;1;240501;002300;1.06603;1.06611;1.06572;1.06585;1010
EURUSD;1;240501;002400;1.06585;1.06599;1.06585;1.06594;316
EURUSD;1;240501;002500;1.06594;1.066;1.0658;1.06591;514
EURUSD;1;240501;002600;1.06583;1.066;1.06582;1.06591;379
EURUSD;1;240501;002700;1.06591;1.0661;1.06589;1.0661;362
EURUSD;1;240501;002800;1.0661;1.06615;1.06599;1.06604;538
EURUSD;1;240501;002900;1.06605;1.0661;1.06598;1.06605;387
EURUSD;1;240501;003000;1.06597;1.06606;1.06594;1.06604;347
EURUSD;1;240501;003100;1.06596;1.06614;1.06596;1.0661;370
EURUSD;1;240501;003200;1.06613;1.06613;1.06599;1.06608;404
EURUSD;1;240501;003300;1.06608;1.0661;1.06595;1.06601;412
EURUSD;1;240501;003400;1.06608;1.06614;1.066;1.06611;343
EURUSD;1;240501;003500;1.06613;1.06614;1.06602;1.06611;316
EURUSD;1;240501;003600;1.06607;1.06613;1.06602;1.06611;303
EURUSD;1;240501;003700;1.0661;1.0662;1.06596;1.06602;368
EURUSD;1;240501;003800;1.06597;1.0661;1.06597;1.06608;305
EURUSD;1;240501;003900;1.06607;1.06618;1.06599;1.06615;430
EURUSD;1;240501;004000;1.06611;1.06618;1.06601;1.06614;480
EURUSD;1;240501;004100;1.06611;1.06615;1.06596;1.06603;382
EURUSD;1;240501;004200;1.06604;1.06614;1.06596;1.06612;371
EURUSD;1;240501;004300;1.06605;1.06616;1.066;1.06608;482
EURUSD;1;240501;004400;1.06603;1.06614;1.066;1.06603;500
EURUSD;1;240501;004500;1.06611;1.06615;1.06598;1.06607;548
EURUSD;1;240501;004600;1.06607;1.0661;1.06596;1.06599;441
EURUSD;1;240501;004700;1.06606;1.06612;1.06598;1.0661;481
EURUSD;1;240501;004800;1.06608;1.06611;1.06598;1.066;427
EURUSD;1;240501;004900;1.06607;1.0661;1.06594;1.06603;495
EURUSD;1;240501;005000;1.06595;1.06604;1.06587;1.06587;340
EURUSD;1;240501;005100;1.06587;1.06597;1.06584;1.06595;371
EURUSD;1;240501;005200;1.06588;1.06602;1.06587;1.06601;326
EURUSD;1;240501;005300;1.066;1.06604;1.06593;1.06594;260
EURUSD;1;240501;005400;1.06599;1.06607;1.06589;1.0659;668
EURUSD;1;240501;005500;1.06598;1.06605;1.06584;1.06595;620
EURUSD;1;240501;005600;1.06599;1.06618;1.0659;1.06618;678
EURUSD;1;240501;005700;1.06618;1.06621;1.06607;1.06621;501
EURUSD;1;240501;005800;1.06613;1.06624;1.06608;1.06619;482
EURUSD;1;240501;005900;1.06619;1.0662;1.06608;1.06608;338
EURUSD;1;240501;010000;1.06615;1.0662;1.06608;1.06614;432
